# Ep lEiso
1.005 119.901
1.011 119.818
1.045 120.064
1.066 120.034
1.076 119.933
1.101 119.828
1.116 120.099
1.130 119.943
1.150 119.839
1.151 119.843
1.166 119.949
1.191 119.900
1.200 120.052
1.220 119.980
1.238 119.911
1.246 119.806
1.280 119.956
1.285 120.042
1.298 119.780
1.301 119.883
1.311 119.975
1.312 119.935
1.318 119.839
1.328 119.975
1.336 119.975
1.348 119.880
1.349 119.905
1.357 119.945
1.363 119.970
1.368 119.909
1.414 119.743
1.416 119.725
1.420 119.885
1.434 119.841
1.450 119.839
1.452 119.706
1.473 120.069
1.483 120.071
1.484 119.779
1.501 119.946
1.508 119.882
1.514 119.920
1.524 119.771
1.526 119.755
1.529 119.903
1.536 119.837
1.553 119.840
1.579 120.093
1.582 119.992
1.583 119.809
1.585 119.979
1.590 119.698
1.601 119.881
1.605 119.876
1.618 120.035
1.620 119.858
1.626 119.832
1.679 120.107
1.691 119.861
1.732 119.909
1.732 119.924
1.754 119.776
1.771 119.792
1.800 119.868
1.802 120.008
1.823 119.738
1.836 119.992
1.877 120.212
1.882 120.047
1.896 119.970
1.918 119.781
1.918 119.778
1.923 119.966
1.933 119.843
1.949 119.719
1.960 119.882
1.967 119.868
1.996 119.964
2.017 119.904
2.018 119.919
2.031 119.809
2.036 119.867
2.042 119.822
2.055 119.898
2.071 119.878
2.078 119.863
2.084 119.834
2.118 119.931
2.122 119.842
2.129 119.846
2.135 119.865
2.150 119.992
2.151 119.956
2.153 120.030
2.176 120.024
2.182 119.901
2.199 119.996
2.235 120.023
2.247 119.833
2.248 119.884
2.260 119.783
2.261 119.756
2.262 119.701
2.264 119.846
2.269 119.961
2.276 119.986
2.277 119.856
2.293 119.920
2.309 119.899
2.314 119.713
2.323 119.770
2.324 119.712
2.333 119.862
2.345 119.823
2.346 119.878
2.354 119.899
2.363 119.999
2.442 119.781
2.443 120.042
2.453 119.911
2.466 119.788
2.470 119.893
2.472 119.881
2.485 119.664
2.491 119.933
2.495 119.947
2.535 119.681
2.541 119.790
2.555 119.949
2.577 119.816
2.587 119.815
2.614 119.749
2.625 119.836
2.646 119.620
2.649 119.931
2.693 119.816
2.698 119.813
2.740 119.840
2.743 119.763
2.768 119.996
2.786 119.922
2.790 119.904
2.794 119.897
2.835 119.893
2.840 119.927
2.846 119.776
2.894 119.705
2.900 119.839
2.969 119.814
2.972 119.881
2.973 119.802
3.040 119.853
3.053 119.635
3.076 119.764
3.101 119.720
3.140 119.823
3.153 119.752
3.156 119.814
3.199 119.809
3.211 119.540
3.219 119.832
3.239 119.842
3.241 119.905
3.257 119.646
3.266 119.859
3.304 119.829
3.332 119.872
3.413 119.870
3.421 119.901
3.437 119.895
3.447 119.852
3.468 119.809
3.469 119.775
3.517 119.717
3.530 119.812
3.536 119.788
3.552 119.945
3.554 119.809
3.570 119.899
3.577 119.980
3.594 119.855
3.628 119.818
3.634 119.660
3.644 119.792
3.645 119.881
3.708 119.799
3.761 119.896
3.783 119.862
3.789 119.775
3.830 119.786
3.846 119.868
3.863 119.838
3.863 119.826
3.884 119.841
3.949 119.607
3.985 119.794
4.020 119.914
4.040 119.777
4.053 119.780
4.062 119.760
4.070 119.701
4.083 119.953
4.150 119.640
4.169 119.820
4.209 119.653
4.218 119.846
4.222 119.735
4.243 119.840
4.267 119.788
4.283 119.688
4.310 119.729
4.319 119.907
4.335 119.884
4.409 119.821
4.457 119.696
4.469 119.781
4.471 119.702
4.484 119.802
4.508 119.808
4.519 119.897
4.576 119.793
4.760 119.751
4.766 119.907
4.776 119.765
4.778 119.850
4.834 119.877
4.858 119.830
4.873 119.824
4.873 119.766
4.888 119.891
4.975 119.839
4.979 119.735
4.993 119.885
5.109 119.743
5.178 119.808
5.227 119.912
5.365 119.851
5.457 119.897
5.467 119.607
5.551 119.804
5.563 119.776
5.629 119.792
5.637 119.905
5.674 119.746
5.686 119.676
5.687 119.799
5.755 119.812
5.804 119.811
5.946 119.662
5.948 119.550
6.011 119.552
6.058 119.731
6.062 119.610
6.176 119.671
6.176 119.787
6.177 119.833
6.201 119.660
6.211 119.866
6.255 119.720
6.290 119.792
6.304 119.752
6.307 119.707
6.337 119.760
6.480 119.655
6.672 119.894
6.674 119.823
6.706 119.664
6.824 119.696
6.854 119.899
6.872 119.754
6.889 119.729
6.950 119.630
7.012 119.694
7.018 119.662
7.029 119.884
7.045 119.625
7.150 119.795
7.200 119.877
7.266 119.585
7.282 119.643
7.286 119.640
7.302 119.641
7.331 119.538
7.379 119.703
7.436 119.586
7.465 119.857
7.517 119.825
7.534 119.779
7.685 119.597
7.689 119.708
7.756 119.647
7.757 119.546
7.911 119.823
8.091 119.789
8.143 119.733
8.235 119.474
8.381 119.631
8.431 119.631
8.663 119.570
8.766 119.639
8.792 119.655
8.802 119.802
8.882 119.738
8.965 119.835
8.983 119.500
9.067 119.849
9.097 119.584
9.244 119.516
9.251 119.613
9.257 119.493
9.359 119.647
9.418 119.577
9.444 119.397
9.493 119.652
9.560 119.595
9.632 119.624
9.684 119.493
9.781 119.624
9.786 119.885
9.797 119.751
10.158 119.712
10.233 119.751
10.509 119.710
10.517 119.543
10.628 119.505
10.680 119.681
10.856 119.709
10.907 119.822
10.968 119.676
10.997 119.473
11.002 119.794
11.006 119.647
11.055 119.597
11.096 119.696
11.119 119.530
11.193 119.697
11.452 119.843
11.692 119.758
11.754 119.612
11.910 119.700
12.023 119.673
12.204 119.750
12.207 119.783
12.318 119.828
12.394 119.587
12.505 119.659
12.608 119.437
12.612 119.679
12.657 119.552
12.771 119.486
12.813 119.566
12.825 119.766
12.859 119.572
12.985 119.505
13.065 119.521
13.132 119.803
13.418 119.633
13.480 119.818
13.829 119.516
13.846 119.837
